"Ly1_cas9_1"	"Ly1_cas9_7"	"Ly1_cas9_9"	"Ly1_KO_E8"	"Ly1_het_F10"	"Ly1_het_F9"	"Ly1_KO_G1"	"Ly1_KO_H3"
"DPM1"	1205.16964664758	1171.84429924029	1202.88949139603	1206.26761067202	1155.61253611049	1219.63951481992	1206.13713280512	1278.85181186678
"C1orf112"	50.7185622837658	45.2886685696731	56.1701700828101	65.6985037955295	56.2657789117468	62.0613027452614	82.6390857713129	47.6495266440747
"GCLC"	61.586825630287	82.7933472289336	59.3496136724031	101.240317324259	95.219010466033	67.4579377665885	73.7848980101008	77.6226159847024
"NFYA"	78.4930130582089	72.8864509793176	64.6486863217248	56.0052819240579	67.8074771500538	50.3685935323861	62.9631129686194	63.7888824428742
"STPG1"	66.4171648954076	65.102461068905	68.8879444411822	59.2363558812151	51.9376420723816	71.0556944474732	60.99551568835	63.7888824428742
"NIPAL3"	146.117762769897	181.862309725093	137.775888882364	112.010563848116	102.432571864975	141.211949724725	140.683205539259	127.577764885748
"LAS1L"	344.161672639839	393.445308199035	351.858423914961	382.343751596934	376.547905024767	368.770059790684	322.685953964174	349.686042307323
"ENPP4"	26.566865958163	24.76724062404	18.0168470076938	38.7728874858862	20.1979719170373	26.9831751066354	25.5787646435016	29.9730893406276
"ANKIB1"	84.5309371396096	98.3613270497587	101.742194866977	64.6214791431437	46.1667929532281	62.9607419154826	97.3960653733331	76.0855344800548
"CYP51A1"	1249.85028484994	1293.55759602129	1191.23153156752	1697.39085215991	2174.16740564109	1665.76134324963	1996.12744083326	1836.81239805385
"KRIT1"	154.570856483858	188.231028742704	156.852550419923	137.859155505373	90.8908736266678	161.899050639812	121.007232736565	153.708150464757
"RAD52"	102.644709383812	108.975858745776	102.802009396841	79.6998242765439	67.8074771500538	80.050086149685	80.6714884910436	79.1596974893499
"BAD"	78.4930130582089	73.5940864257188	72.0673880307752	81.8538735813154	89.4481613468795	85.4467211710121	106.250253134545	69.1686677091407
"LAP3"	408.163667902687	407.598017127058	366.695827333062	284.334508229832	497.73573652699	433.529680046609	669.966873931716	406.558057979283
"HS3ST1"	20.5289418767623	19.813792499232	13.7775888882364	29.0796656144147	18.7552596372489	20.6871009150871	24.5949660033669	26.1303855790087
"MAD1L1"	347.78442708868	412.551465251866	528.847450402307	397.422096730334	318.839413833232	205.072130810429	169.213366103165	196.746432594889
"LASP1"	102.644709383812	98.3613270497587	126.117929053857	45.2350354002006	79.3491753883608	72.8545727879156	81.6552871311783	59.1776379289315
"SNX11"	60.3792408140069	79.962805443329	99.6225658072481	67.8525531003009	75.0210385489957	74.6534511283579	69.8497034495621	56.1034749196364
"M6PR"	105.059879016372	76.4246282113233	94.3234931579264	85.0849475384726	85.1200245075143	84.5472820007909	99.3636626536025	86.076564260264
"ALS2"	28.9820355907233	35.3817723200571	45.5720247841667	38.7728874858862	33.1823824351327	41.3742018301743	39.3519456053871	36.8899561115417
"CFLAR"	182.345307258301	159.217975440257	173.809582897752	169.092870424559	116.859694662859	124.122605490523	172.164762023569	132.189009399691
"NDUFAF7"	141.287423504776	150.726350083443	115.519783755213	108.779489890959	150.042077097991	116.027652958532	132.812816418182	131.420468647367
