"Ly8_cas9_11"	"Ly8_cas9_3"	"Ly8_cas9_6"	"Ly8_het_A9"	"Ly8_het_G10"	"Ly8_het_G5"	"Ly8_KO_G6"
"DPM1"	1022.80432442299	1207.45416954631	1107.61744258824	998.415049994033	1191.5040410707	1176.53617214568	1290.14163243828
"C1orf112"	48.0565853291928	42.580247792565	52.7870268447969	38.7733999997683	40.1978006935616	48.0218845773748	49.4798637440817
"FUCA2"	72.0848779937892	51.7045866052575	57.3376326072794	0.538519444441226	5.15356419148226	75.4629614787319	151.188472551361
"GCLC"	53.663186950932	54.746032876155	53.6971479972934	55.4675027774463	50.5049290765262	56.5972211090489	66.8894454318141
"NFYA"	66.47827637205	65.3910948242962	53.6971479972934	67.8534499995945	61.8427702977871	78.8930960914015	46.730982424966
"STPG1"	47.2556422403729	69.9532642306425	39.1352095573495	53.3134249996814	51.5356419148226	73.747894172397	54.0613326092744
"NIPAL3"	81.6961950596278	114.054235158656	69.1692075897339	78.0853194439778	53.5970675914155	63.4574903343881	88.8804959847393
"LAS1L"	331.59043877143	352.80776742411	340.385311033691	479.820824997132	390.640165714355	391.035345844338	389.424853541384
"ENPP4"	33.639609730435	28.8937395735262	20.9327865074195	26.3874527776201	30.9213851488936	32.5862788203615	30.2376945102721
"ANKIB1"	57.6679023950314	85.16049558513	60.0679960647689	52.7749055552402	48.4435033999332	56.5972211090489	57.7265077014286
"CYP51A1"	659.176162098761	792.296753568798	794.535766129444	804.009530550751	572.045625254531	840.382980104059	774.268238217574
"KRIT1"	128.150894211181	127.740743377695	110.124659452076	108.242408332686	144.299797361503	106.334172992759	108.122665218549
"RAD52"	44.8528129739133	62.3496485533987	41.865573014839	38.2348805553271	49.4742162382297	32.5862788203615	35.7354571485034
"BAD"	40.047154440994	30.414462708975	52.7870268447969	39.8504388886507	58.7506317828978	66.8876249470578	74.2197956161225
"LAP3"	818.563836773918	2498.54811154229	834.58109683929	672.610786107091	727.683263837295	692.887191759265	625.828646985329
"CD99"	11.2132032434783	6.082892541795	14.561938439944	9.15483055550084	11.337841221261	20.5808076760178	16.4932879146939
"HS3ST1"	12.0141463322982	38.0180783862187	21.842907659916	21.0022583332078	22.6756824425219	22.2958749823526	21.0747567798866
"WNT16"	8.81037397701868	1.52072313544875	18.20242304993	12.9244666665894	18.5528310893361	10.2904038380089	12.8281128225397
"MAD1L1"	538.233755686959	215.942685233722	644.365775967521	138.399497221395	156.668351421061	145.780721038459	247.399318720408
"LASP1"	66.47827637205	91.243388126925	68.2590864372374	111.473524999334	62.8734831360836	85.7533653167407	98.0434337151248
"SNX11"	64.8763901944103	83.6397724496812	74.6299345047129	73.2386444440068	62.8734831360836	70.3177595597274	82.4664395734695
"M6PR"	72.8858210826091	95.8055575332712	61.8882383697619	70.0075277773594	54.627780429712	84.0382980104059	58.6428014744672
"ICA1"	9.61131706583856	10.6450619481412	9.10121152496499	22.0792972220903	10.3071283829645	5.14520191900444	13.7444065955782
"ALS2"	19.2226341316771	24.33157016718	14.561938439944	26.3874527776201	25.7678209574113	27.441076901357	25.6562256450794
"CASP10"	44.0518698850934	51.7045866052575	46.4161787773214	58.1600999996524	30.9213851488936	60.0273557217185	51.3124512901588
"CFLAR"	70.4829918161495	103.409173210515	63.7084806747549	75.3927222217717	79.3648885488268	80.6081633977363	69.6383267509298
