"Ly1_KO_E8_1"	"Ly1_KO_E8_2"	"Ly1_KO_G1_1"	"Ly1_KO_G1_2"	"Ly1_KO_H3_1"	"Ly1_KO_H3_2"	"Ly1_cas9_1_1"	"Ly1_cas9_1_2"	"Ly1_cas9_7_1"	"Ly1_cas9_7_2"	"Ly1_cas9_9_1"	"Ly1_cas9_9_2"	"Ly1_het_F10_1"	"Ly1_het_F10_2"	"Ly1_het_F9_1"	"Ly1_het_F9_2"
"ENSG00000000003"	0	0	0	0	1	0	8	11	3	10	4	1	1	0	1	0
"ENSG00000000419"	471	649	663	563	756	908	488	510	654	1002	316	819	238	563	559	797
"ENSG00000000457"	3	5	6	2	4	7	9	4	6	5	2	5	0	3	5	4
"ENSG00000000460"	29	32	48	36	33	29	22	20	21	43	21	32	9	30	30	39
"ENSG00000000938"	0	0	1	0	1	0	0	1	2	2	1	1	1	1	1	0
"ENSG00000000971"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001036"	0	1	1	1	0	2	0	1	1	1	3	3	0	2	1	2
"ENSG00000001084"	37	57	43	32	45	56	20	31	44	73	17	39	15	51	25	50
"ENSG00000001167"	20	32	40	24	38	45	35	30	44	59	31	30	8	39	24	32
"ENSG00000001460"	22	33	32	30	33	50	24	31	35	57	13	52	12	24	34	45
"ENSG00000001461"	37	67	70	73	81	85	56	65	105	152	33	97	24	47	73	84
"ENSG00000001497"	137	218	168	160	178	277	145	140	207	349	105	227	78	183	168	242
"ENSG00000001561"	9	27	9	17	19	20	18	4	17	18	11	6	4	10	12	18
"ENSG00000001617"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
"ENSG00000001626"	2	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1
"ENSG00000001629"	23	37	50	49	40	59	35	35	54	85	29	67	15	17	27	43
"ENSG00000001630"	471	1105	993	1036	918	1472	496	539	723	1105	328	796	367	1140	679	1173
"ENSG00000001631"	49	79	65	58	111	89	64	64	113	153	52	96	26	37	81	99
"ENSG00000002016"	23	51	34	48	45	58	41	44	61	93	37	60	19	28	36	53
"ENSG00000002079"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"ENSG00000002330"	38	38	54	54	40	50	36	29	36	68	21	47	21	41	48	47
"ENSG00000002549"	106	158	391	290	226	303	175	163	226	350	105	241	100	245	160	322
"ENSG00000002586"	10	5	9	10	7	11	0	0	1	0	0	1	2	7	6	5
"ENSG00000002587"	11	16	9	16	11	23	10	7	13	15	3	10	3	10	12	11
"ENSG00000002726"	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
"ENSG00000002745"	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0
"ENSG00000002746"	4	1	2	1	2	4	2	0	2	1	1	2	1	1	2	0
"ENSG00000002822"	153	216	90	82	125	131	139	149	238	345	144	355	84	137	85	143
"ENSG00000002834"	18	24	44	39	30	47	46	39	53	86	30	89	20	35	34	47
"ENSG00000002919"	24	39	39	32	33	40	24	26	34	79	20	74	9	43	25	58
"ENSG00000002933"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000003056"	27	52	45	56	51	61	45	42	44	64	29	60	18	41	29	65
"ENSG00000003096"	1	2	1	0	3	1	2	0	1	1	0	1	0	0	2	0
"ENSG00000003147"	0	1	1	4	1	0	4	5	3	4	4	10	1	1	1	3
"ENSG00000003249"	4	7	4	4	2	1	1	0	3	1	1	0	1	6	2	2
"ENSG00000003393"	12	24	18	22	18	30	12	12	20	30	12	31	7	16	15	31
"ENSG00000003400"	0	2	5	0	2	4	2	3	4	5	1	2	1	0	0	2
"ENSG00000003402"	64	93	82	93	67	105	68	83	92	133	45	119	28	53	58	80
"ENSG00000003436"	1	4	1	3	2	1	1	2	3	6	0	2	0	2	0	0
"ENSG00000003509"	40	61	64	71	69	102	50	67	79	134	42	67	33	71	55	74
"ENSG00000003756"	86	156	133	151	154	204	111	138	173	295	88	178	64	135	144	153
"ENSG00000003987"	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000003989"	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
"ENSG00000004059"	194	247	205	217	282	295	198	232	311	473	196	355	96	198	240	303
"ENSG00000004139"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004142"	122	310	192	237	242	389	136	218	229	409	97	326	98	262	214	367
"ENSG00000004399"	7	12	0	6	4	5	1	3	1	2	0	2	3	12	2	2
"ENSG00000004455"	543	844	659	772	919	1143	557	633	758	1230	361	1006	260	732	742	1086
"ENSG00000004468"	7	14	100	60	30	33	32	32	28	41	16	39	12	21	8	27
"ENSG00000004478"	87	147	116	155	136	218	59	80	102	217	34	141	50	185	94	174
"ENSG00000004487"	37	103	77	75	86	104	55	58	70	110	40	74	45	89	69	105
"ENSG00000004534"	109	201	154	214	169	247	149	167	246	468	99	240	79	187	191	223
"ENSG00000004660"	1	0	2	0	1	2	2	0	1	1	0	1	1	0	1	0
"ENSG00000004700"	18	28	18	18	30	33	22	24	38	39	15	41	7	7	16	34
"ENSG00000004766"	22	24	35	42	37	60	33	29	30	68	26	55	13	31	29	53
"ENSG00000004777"	1	2	8	4	2	6	0	4	2	4	1	1	0	2	1	1
"ENSG00000004779"	912	1328	1297	1230	1446	1679	900	900	1344	1877	613	1361	543	1115	1167	1583
"ENSG00000004799"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
