"Ly8_KO_G6_1"	"Ly8_KO_G6_2"	"Ly8_cas9_11_1"	"Ly8_cas9_11_2"	"Ly8_cas9_3_1"	"Ly8_cas9_3_2"	"Ly8_cas9_6_1"	"Ly8_cas9_6_2"	"Ly8_het_A9_1"	"Ly8_het_A9_2"	"Ly8_het_G10_1"	"Ly8_het_G10_2"	"Ly8_het_G5_1"	"Ly8_het_G5_2"
"ENSG00000000003"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000000419"	626	782	482	795	277	517	617	600	927	927	423	733	262	424
"ENSG00000000457"	6	5	4	6	1	1	3	4	7	9	6	3	2	2
"ENSG00000000460"	17	37	26	34	6	22	28	30	42	30	17	22	11	17
"ENSG00000000938"	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000000971"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000001036"	65	100	46	44	7	27	35	28	0	1	3	2	23	21
"ENSG00000001084"	34	39	28	39	15	21	32	27	63	40	21	28	20	13
"ENSG00000001167"	22	29	42	41	10	33	35	24	81	45	27	33	24	22
"ENSG00000001460"	24	35	18	41	7	39	27	16	51	48	16	34	17	26
"ENSG00000001461"	42	55	43	59	20	55	48	28	81	64	23	29	14	23
"ENSG00000001497"	185	240	188	226	88	144	203	171	478	413	179	200	103	125
"ENSG00000001561"	21	12	20	22	8	11	14	9	30	19	13	17	8	11
"ENSG00000001617"	0	0	0	0	0	0	0	1	0	1	0	0	1	0
"ENSG00000001626"	0	1	0	0	1	1	0	0	0	0	0	0	1	0
"ENSG00000001629"	34	29	33	39	19	37	50	16	48	50	28	19	16	17
"ENSG00000001630"	338	507	385	438	229	292	542	331	741	752	262	293	233	257
"ENSG00000001631"	36	82	82	78	23	61	75	46	106	95	56	84	26	36
"ENSG00000002016"	21	18	33	23	15	26	29	17	39	32	28	20	10	9
"ENSG00000002079"	1	2	0	0	0	0	1	0	0	1	0	0	1	0
"ENSG00000002330"	35	46	19	31	6	14	24	34	28	46	19	38	19	20
"ENSG00000002549"	304	379	356	666	184	1459	439	478	627	622	261	445	153	251
"ENSG00000002586"	4	14	4	10	1	3	8	8	8	9	4	7	4	8
"ENSG00000002587"	12	11	8	7	10	15	12	12	18	21	9	13	6	7
"ENSG00000002726"	0	0	0	0	0	0	0	1	1	1	0	0	1	0
"ENSG00000002745"	5	9	4	7	0	1	9	11	13	11	5	13	4	2
