value	group	tec_rep	bio_rep
67,26	WT	NA	NA
51,31	WT	NA	NA
85,45	WT	NA	NA
135,56	WT	NA	NA
52,72	WT	NA	NA
35,38	WT	NA	NA
56,86	WT	NA	NA
50,98	WT	NA	NA
57,8	WT	NA	NA
60,73	WT	NA	NA
60,48	WT	NA	NA
59,87	WT	NA	NA
64,45	WT	NA	NA
93,77	WT	NA	NA
38,96	WT	NA	NA
111,01	WT	NA	NA
56,99	WT	NA	NA
52,83	WT	NA	NA
59,84	WT	NA	NA
59,21	WT	NA	NA
52,15	WT	NA	NA
59	WT	NA	NA
48,39	WT	NA	NA
29,09	WT	NA	NA
42,59	WT	NA	NA
15,85	WT	NA	NA
107,87	WT	NA	NA
67,68	WT	NA	NA
50,06	WT	NA	NA
41,21	WT	NA	NA
30,48	WT	NA	NA
71,43	WT	NA	NA
50,39	WT	NA	NA
101,96	WT	NA	NA
47,36	WT	NA	NA
117,82	WT	NA	NA
71,98	WT	NA	NA
46,18	WT	NA	NA
50,77	WT	NA	NA
18,03	MUT	NA	NA
44,96	MUT	NA	NA
38,16	MUT	NA	NA
36,82	MUT	NA	NA
75,57	MUT	NA	NA
86,07	MUT	NA	NA
48,92	MUT	NA	NA
56,02	MUT	NA	NA
45,01	MUT	NA	NA
57,69	MUT	NA	NA
31,44	MUT	NA	NA
88,64	MUT	NA	NA
