value	group	tec_rep	bio_rep	date
3,335671	WT 0 ng	1	NA	NA
2,502503	WT 0 ng	2	NA	NA
2,861144	WT 0 ng	3	NA	NA
4,684976	het 0 ng	1	NA	NA
4,171251	het 0 ng	2	NA	NA
2,68322	het 0 ng	3	NA	NA
4,5	het+RUNX3 0 ng	1	NA	NA
2,321857	het+RUNX3 0 ng	2	NA	NA
1,892081	het+RUNX3 0 ng	3	NA	NA
4,526666	KO 0 ng	1	NA	NA
4,475216	KO 0 ng	2	NA	NA
4,518072	KO 0 ng	3	NA	NA
5,855224	WT 3 ng	1	NA	NA
5,371611	WT 3 ng	2	NA	NA
4,8	WT 3 ng	3	NA	NA
5,802942	het 3 ng	1	NA	NA
5,1	het 3 ng	2	NA	NA
3,032122	het 3 ng	3	NA	NA
9,081816	het+RUNX3 3 ng	1	NA	NA
2,993293	het+RUNX3 3 ng	2	NA	NA
2,680536	het+RUNX3 3 ng	3	NA	NA
4,915067	KO 3 ng	1	NA	NA
2,901786	KO 3 ng	2	NA	NA
4,527163	KO 3 ng	3	NA	NA
14,07348	WT 30 ng	1	NA	NA
14,27428	WT 30 ng	2	NA	NA
21,46073	WT 30 ng	3	NA	NA
8,386967	het 30 ng	1	NA	NA
4,752376	het 30 ng	2	NA	NA
4,280856	het 30 ng	3	NA	NA
15,48167	het+RUNX3 30 ng	1	NA	NA
5,014513	het+RUNX3 30 ng	2	NA	NA
9,59151	het+RUNX3 30 ng	3	NA	NA
5,432596	KO 30 ng	1	NA	NA
5,836342	KO 30 ng	2	NA	NA
6,92554	KO 30 ng	3	NA	NA
28,24842	WT 300 ng	1	NA	NA
25,3822	WT 300 ng	2	NA	NA
27,7	WT 300 ng	3	NA	NA
10,02024	het 300 ng	1	NA	NA
7,044227	het 300 ng	2	NA	NA
5,6	het 300 ng	3	NA	NA
23,47144	het+RUNX3 300 ng	1	NA	NA
7,53356	het+RUNX3 300 ng	2	NA	NA
11,11111	het+RUNX3 300 ng	3	NA	NA
5,446141	KO 300 ng	1	NA	NA
4,939141	KO 300 ng	2	NA	NA
6,643986	KO 300 ng	3	NA	NA
