value	group	tec_rep	bio_rep	dose	genotype
6,271882	WT 0 ng	1	NA	0	WT
3,183821	WT 0 ng	2	NA	0	WT
2,646882	WT 0 ng	3	NA	0	WT
2,288999	het 0 ng	1	NA	0	het
1,422662	het 0 ng	2	NA	0	het
3,522818	het 0 ng	3	NA	0	het
5,452787	het+RUNX3 0 ng	1	NA	0	het+RUNX3
4,666533	het+RUNX3 0 ng	2	NA	0	het+RUNX3
3,170781	het+RUNX3 0 ng	3	NA	0	het+RUNX3
3,733834	KO 0 ng	1	NA	0	KO
2,48566	KO 0 ng	2	NA	0	KO
2,556391	KO 0 ng	3	NA	0	KO
22,8	WT 3 ng	1	NA	3	WT
10,46419	WT 3 ng	2	NA	3	WT
13,56543	WT 3 ng	3	NA	3	WT
7,607587	het 3 ng	1	NA	3	het
3,248659	het 3 ng	2	NA	3	het
8,426741	het 3 ng	3	NA	3	het
21,93548	het+RUNX3 3 ng	1	NA	3	het+RUNX3
12,43871	het+RUNX3 3 ng	2	NA	3	het+RUNX3
11,48493	het+RUNX3 3 ng	3	NA	3	het+RUNX3
4,95356	KO 3 ng	1	NA	3	KO
2,992569	KO 3 ng	2	NA	3	KO
2,905812	KO 3 ng	3	NA	3	KO
46,67349	WT 30 ng	1	NA	30	WT
29,02383	WT 30 ng	2	NA	30	WT
57,68602	WT 30 ng	3	NA	30	WT
15,85418	het 30 ng	1	NA	30	het
6,55857	het 30 ng	2	NA	30	het
25,44652	het 30 ng	3	NA	30	het
49,32432	het+RUNX3 30 ng	1	NA	30	het+RUNX3
23,47041	het+RUNX3 30 ng	2	NA	30	het+RUNX3
27,18154	het+RUNX3 30 ng	3	NA	30	het+RUNX3
6,101344	KO 30 ng	1	NA	30	KO
3,336357	KO 30 ng	2	NA	30	KO
4,977376	KO 30 ng	3	NA	30	KO
74,38753	WT 300 ng	1	NA	300	WT
55,19822	WT 300 ng	2	NA	300	WT
66,09137	WT 300 ng	3	NA	300	WT
24,79109	het 300 ng	1	NA	300	het
15,64792	het 300 ng	2	NA	300	het
27,03301	het 300 ng	3	NA	300	het
64,54265	het+RUNX3 300 ng	1	NA	300	het+RUNX3
38,85542	het+RUNX3 300 ng	2	NA	300	het+RUNX3
39,27856	het+RUNX3 300 ng	3	NA	300	het+RUNX3
9,090909	KO 300 ng	1	NA	300	KO
4,948702	KO 300 ng	2	NA	300	KO
4,579768	KO 300 ng	3	NA	300	KO
