value	group	tec_rep	bio_rep	date
19,8	WT	NA	CD8.1	20211201
30,12	WT	NA	CD8.2	20211207
18,37	WT	NA	CD8.3	20211220
7,01	WT	NA	CD8.333	20220316
23,37	WT	NA	CD8.832	20220318
8,6	het	NA	CD8.1	20211201
23,8	het	NA	CD8.2	20211207
9,8	het	NA	CD8.3	20211220
5,69	het	NA	CD8.333	20220316
9,78	het	NA	CD8.832	20220318
10	het+RUNX3	NA	CD8.1	20211201
33,82	het+RUNX3	NA	CD8.2	20211207
31,06	het+RUNX3	NA	CD8.3	20211220
8,39	het+RUNX3	NA	CD8.333	20220316
22,99	het+RUNX3	NA	CD8.832	20220318
1,07	KO	NA	CD8.1	20211201
28,39	KO	NA	CD8.2	20211207
0,18	KO	NA	CD8.3	20211220
3,77	KO	NA	CD8.333	20220316
6,72	KO	NA	CD8.832	20220318
