value	group	tec_rep	bio_rep	date
0	WT	NA	CD8.1	20211201
0	WT	NA	CD8.2	20211207
0	WT	NA	CD8.3	20211220
0	WT	NA	CD8.333	20220316
0	WT	NA	CD8.832	20220318
-1,20309186537751	het	NA	CD8.1	20211201
-0,339760196476623	het	NA	CD8.2	20211207
-0,906497972108778	het	NA	CD8.3	20211220
-0,300985791704041	het	NA	CD8.333	20220316
-1,25675136383059	het	NA	CD8.832	20220318
-0,985500430304885	het+RUNX3	NA	CD8.1	20211201
0,167154889738058	het+RUNX3	NA	CD8.2	20211207
0,757706203275955	het+RUNX3	NA	CD8.3	20211220
0,259256366429204	het+RUNX3	NA	CD8.333	20220316
-0,0236512680646453	het+RUNX3	NA	CD8.832	20220318
-4,20981772856583	KO	NA	CD8.1	20211201
-0,0853389209475368	KO	NA	CD8.2	20211207
-6,67321090966904	KO	NA	CD8.3	20211220
-0,894849920741958	KO	NA	CD8.333	20220316
-1,79812459600407	KO	NA	CD8.832	20220318
