"peak_ID" "label" "gene_symbol" "chromosome" "start" "end" "present_in_OCILY1" "present_in_OCILY8"
"10_88987113_88987194" "peak 1" "FAS" "10" "88987113" "88987194" TRUE TRUE
"10_88990451_88990877" "peak 2" "FAS" "10" "88990451" "88990877" TRUE TRUE
"10_88991303_88991478" "peak 3" "FAS" "10" "88991303" "88991478" TRUE TRUE
"10_88991699_88992075" "peak 4" "FAS" "10" "88991699" "88992075" TRUE TRUE
"10_89003524_89003668" "peak 5" "FAS" "10" "89003524" "89003668" FALSE TRUE
"1_24924187_24924334" "peak 1" "RUNX3" "1" "24924187" "24924334" TRUE TRUE
"1_24925271_24925361" "peak 2" "RUNX3" "1" "24925271" "24925361" TRUE TRUE
"1_24929545_24929917" "peak 3" "RUNX3" "1" "24929545" "24929917" TRUE TRUE
"1_24930223_24930669" "peak 4" "RUNX3" "1" "24930223" "24930669" TRUE TRUE
"1_24932304_24932499" "peak 5" "RUNX3" "1" "24932304" "24932499" TRUE TRUE
"1_24934451_24934598" "peak 6" "RUNX3" "1" "24934451" "24934598" TRUE TRUE
"1_24963581_24963762" "peak 7" "RUNX3" "1" "24963581" "24963762" TRUE TRUE
"1_24965366_24965451" "peak 8" "RUNX3" "1" "24965366" "24965451" FALSE TRUE
"11_128503402_128503616" "peak 1" "ETS1" "11" "128503402" "128503616" TRUE TRUE
"11_128503826_128503914" "peak 2" "ETS1" "11" "128503826" "128503914" TRUE FALSE
"11_128507440_128507626" "peak 3" "ETS1" "11" "128507440" "128507626" TRUE TRUE
"11_128508098_128508191" "peak 4" "ETS1" "11" "128508098" "128508191" TRUE FALSE
"11_128519424_128519721" "peak 5" "ETS1" "11" "128519424" "128519721" TRUE TRUE
"11_128463125_128463218" "peak 6" "ETS1" "11" "128463125" "128463218" FALSE TRUE
